Social Behaviour,ConflictResolution,MoralAlignment,Intelligence,Ambition,Loyalty,Leadership,RiskTaker,SenseOfHumor,Curiosity,Adaptibility,Cunning,Patience,House
['Ambivert'],['Avoidant'],['Opportunist'],5.19,9.22,8.44,9.97,8.91,5.4,7.84,8.53,8.9,7.35,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.27,3.91,7.99,4.25,5.69,7.48,8.56,8.97,5.89,7.39,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],3.37,2.81,8.48,4.48,4.0,7.89,4.7,8.05,2.28,9.75,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],9.0,9.34,7.86,6.9,8.03,9.91,5.85,7.81,4.16,4.25,Gryffindor
['Ambivert'],['Mediator'],['Realist'],8.8,9.81,7.07,7.28,9.89,3.12,7.47,8.44,9.2,7.97,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.27,7.99,9.6,5.79,3.13,6.51,9.09,8.62,6.09,7.36,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],4.96,5.79,8.78,2.91,4.5,6.27,5.4,7.72,3.41,9.52,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.22,8.86,7.64,9.78,9.52,9.82,6.41,6.29,4.16,5.73,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],5.37,9.07,3.61,7.79,9.31,4.67,6.54,9.73,8.51,6.33,Slytherin
['Introvert'],['Confrontational'],['Realist'],8.89,4.8,5.86,4.53,5.86,4.18,8.36,8.44,5.26,7.52,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],3.04,0.83,8.13,1.81,2.92,8.07,6.07,5.48,2.41,9.52,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],7.82,7.43,7.07,7.47,9.43,7.27,7.52,6.43,5.17,5.77,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.72,9.04,4.18,8.74,7.88,5.97,6.36,8.63,9.36,7.08,Slytherin
['Introvert'],['Mediator'],['Realist'],9.53,3.99,9.84,3.93,4.58,6.83,8.6,7.77,6.74,7.13,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],3.98,2.05,8.88,4.44,0.69,8.99,6.95,5.06,3.14,9.28,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],6.57,9.48,7.33,5.55,9.86,8.73,6.28,7.12,4.6,4.81,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.92,9.57,8.66,7.38,8.42,4.13,6.79,9.29,8.24,6.48,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.88,3.22,7.43,5.07,5.04,4.67,8.97,8.53,6.11,7.23,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],3.21,3.31,9.55,3.55,3.59,8.37,6.99,7.89,3.08,9.27,Hufflepuff
['Introvert'],['Confrontational'],['Idealist'],7.44,9.09,6.22,7.77,7.55,9.86,7.66,7.9,5.7,5.02,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],5.24,9.09,3.42,7.63,8.43,5.11,6.08,9.42,8.5,7.02,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.69,7.5,6.08,4.86,3.27,4.08,9.84,7.75,5.09,7.97,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],1.96,1.76,9.19,0.57,0.11,7.83,6.05,8.3,2.75,9.83,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.33,8.82,8.8,7.82,9.07,9.57,7.06,6.19,5.36,4.54,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],8.86,9.1,7.35,9.87,8.24,3.78,7.25,8.11,9.28,7.95,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.31,7.17,7.78,3.03,4.42,7.99,9.92,8.6,6.58,7.08,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],4.89,6.92,9.98,4.08,5.63,6.86,5.91,6.7,3.66,9.27,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.19,8.75,7.75,7.73,9.64,8.69,5.98,6.47,4.91,5.03,Gryffindor
['Extrovert'],['Mediator'],['Opportunist'],5.66,9.91,7.97,9.53,9.37,4.99,6.62,9.8,9.67,7.86,Slytherin
['Introvert'],['Avoidant'],['Idealist'],8.83,5.99,6.68,5.25,4.78,7.47,9.59,7.96,5.62,7.19,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],5.01,1.69,9.64,3.84,2.21,7.18,4.86,6.55,2.52,9.29,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],6.0,8.85,8.46,5.43,7.43,7.61,5.51,8.36,5.86,6.0,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],8.52,9.46,3.28,8.76,9.6,5.93,7.46,8.92,8.41,6.1,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.46,4.67,7.0,3.72,4.12,4.51,9.6,8.39,5.63,7.81,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],2.38,4.15,8.35,2.44,4.68,8.77,5.17,8.51,2.22,9.68,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],7.12,7.67,8.13,6.41,7.75,9.44,6.09,6.02,4.61,5.73,Gryffindor
['Ambivert'],['Avoidant'],['Realist'],8.79,9.46,1.5,8.46,9.92,4.7,8.89,8.37,9.42,7.49,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.6,4.23,5.41,4.78,3.76,7.34,9.06,7.69,6.31,7.79,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],3.64,4.96,8.3,5.46,4.31,8.59,6.31,7.72,3.15,9.71,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.56,7.31,9.67,7.36,7.22,9.92,5.21,7.77,4.62,4.15,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.88,9.74,7.98,9.27,9.56,5.78,8.04,9.47,9.09,7.41,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.64,6.52,7.1,5.89,3.67,5.16,8.2,8.1,6.52,7.93,Ravenclaw
['Ambivert'],['Avoidant'],['Realist'],3.05,0.16,8.66,5.91,1.21,7.42,4.58,6.1,2.84,9.13,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],9.4,8.66,8.43,8.98,9.77,8.19,7.48,7.35,5.33,4.28,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.34,9.56,4.81,7.36,9.86,3.43,8.37,8.25,8.07,6.04,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.82,7.94,6.57,3.47,3.33,5.81,8.18,7.53,6.1,7.4,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],2.03,4.2,9.65,1.35,1.27,6.22,5.91,8.29,2.91,9.82,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],6.45,7.93,8.99,7.95,9.43,8.78,6.15,7.35,5.17,5.9,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.4,9.46,5.7,9.59,7.47,3.36,7.93,9.53,8.74,7.22,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.68,3.61,7.83,5.96,5.61,6.42,9.11,7.23,5.65,7.68,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],5.6,4.48,8.59,1.36,0.29,6.97,5.25,5.56,3.27,9.04,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],9.7,8.05,8.33,6.19,9.49,9.16,6.67,8.5,4.47,5.1,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.62,9.1,4.61,8.45,8.92,5.39,6.02,9.24,9.6,7.88,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.35,5.94,9.98,5.95,4.57,6.24,8.32,7.48,6.04,7.11,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],4.6,2.72,8.3,5.18,2.27,6.05,4.05,8.38,2.89,9.25,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.07,8.98,7.35,9.84,9.06,9.84,5.2,6.91,4.46,4.74,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],8.31,9.84,5.37,9.56,9.61,3.13,8.73,9.08,9.11,7.06,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.78,7.88,6.65,3.81,4.82,4.2,8.31,7.67,5.65,7.73,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],4.18,3.08,8.22,2.8,0.03,8.99,4.41,8.31,2.63,9.12,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],9.88,8.7,9.91,7.6,8.05,9.96,5.28,7.15,4.99,5.98,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.08,9.71,7.39,9.9,8.27,4.26,7.38,9.04,9.13,7.97,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.23,6.02,7.68,4.59,4.34,4.79,8.04,7.72,6.11,7.75,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],2.5,1.67,9.27,2.35,3.66,7.79,5.78,8.8,2.45,9.17,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.83,7.62,7.53,8.17,9.36,9.06,6.29,7.29,5.21,4.7,Gryffindor
['Extrovert'],['Mediator'],['Opportunist'],8.82,9.95,0.23,7.97,7.35,5.28,7.58,9.12,9.63,7.17,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.03,6.78,6.17,4.93,3.6,5.91,8.81,7.59,5.67,7.66,Ravenclaw
['Introvert'],['Mediator'],['Realist'],3.93,2.3,8.72,3.47,3.8,6.17,4.52,6.81,2.02,9.93,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.27,9.16,9.47,6.59,9.66,9.63,7.89,7.74,4.91,4.34,Gryffindor
['Ambivert'],['Confrontational'],['Opportunist'],9.66,9.35,0.68,7.9,8.2,5.09,7.29,9.85,8.27,7.75,Slytherin
['Ambivert'],['Avoidant'],['Realist'],8.71,6.36,8.45,3.13,3.88,4.36,8.91,8.98,5.98,7.22,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],0.34,3.87,8.67,1.72,1.09,6.08,5.04,5.96,2.45,9.45,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.06,9.35,9.07,9.56,9.82,8.37,7.76,7.02,5.58,5.14,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],8.22,9.17,0.52,8.3,8.22,5.86,6.17,9.34,8.34,7.18,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.92,3.09,5.75,4.15,3.14,7.7,9.08,8.68,5.25,7.24,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],0.11,1.05,8.34,4.57,4.29,8.58,5.05,8.84,3.44,9.01,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],7.7,7.75,9.1,5.5,9.74,8.47,6.01,8.03,4.92,5.63,Gryffindor
['Extrovert'],['Mediator'],['Realist'],6.58,9.75,4.42,9.12,9.11,3.44,6.43,8.26,8.62,6.65,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.08,6.46,6.97,3.85,3.48,5.07,8.21,8.02,5.29,7.39,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],1.04,3.1,9.59,1.12,4.77,6.89,4.94,5.04,2.11,9.09,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.32,9.18,8.26,8.6,9.13,7.98,7.4,8.41,4.57,4.46,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],5.77,9.09,7.65,9.15,7.06,5.67,7.66,8.78,8.18,7.46,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.8,5.25,9.81,5.87,3.23,5.03,8.32,8.34,6.23,7.41,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],2.01,4.72,8.98,4.65,0.04,6.68,6.22,7.12,3.77,9.1,Hufflepuff
['Ambivert'],['Confrontational'],['Idealist'],5.48,8.18,8.99,7.51,8.8,9.98,7.76,7.12,4.63,4.17,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],8.19,9.87,9.5,7.78,7.74,4.61,7.43,8.17,8.44,7.3,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.54,7.26,8.28,5.36,3.7,5.41,8.53,8.41,6.57,7.39,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],4.48,0.05,9.59,5.42,2.45,6.36,6.8,8.19,3.31,9.88,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.48,9.27,8.4,7.42,7.0,9.29,6.65,6.48,5.42,5.42,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],8.15,9.59,2.96,7.69,8.44,3.84,8.91,8.58,9.19,7.36,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.26,4.06,7.66,3.45,3.01,5.79,9.97,7.26,5.85,7.23,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],4.3,3.31,9.75,2.07,5.7,8.82,6.96,6.42,3.39,9.1,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],6.34,9.59,6.86,7.04,7.52,9.6,7.75,6.68,4.13,4.62,Gryffindor
['Extrovert'],['Mediator'],['Opportunist'],5.9,9.24,1.51,7.69,8.11,5.05,8.77,9.71,8.73,6.2,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.11,5.87,6.05,4.66,4.87,5.61,9.89,8.26,5.05,7.9,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],2.65,4.68,9.07,2.45,2.57,8.34,4.92,8.65,3.83,9.6,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.47,7.52,9.52,5.6,7.89,9.27,7.43,7.68,4.95,4.38,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.53,9.9,1.12,9.15,9.51,4.47,7.11,8.1,8.92,6.69,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.02,3.1,6.27,5.36,5.53,6.22,9.28,8.63,6.63,7.38,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],3.65,0.57,8.36,2.35,5.9,8.44,6.59,5.77,2.02,9.29,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.79,9.09,8.65,8.8,8.81,9.05,7.78,7.69,4.81,5.6,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.6,9.38,1.79,9.94,9.69,5.74,8.2,8.66,8.88,7.57,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.0,3.05,6.52,5.19,3.24,5.26,8.62,7.43,5.93,7.49,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],2.62,6.39,8.72,3.92,1.06,8.68,4.5,8.74,3.02,9.31,Hufflepuff
['Extrovert'],['Avoidant'],['Idealist'],9.6,8.36,9.99,6.56,9.29,9.24,6.51,6.46,5.19,5.61,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],8.54,9.88,6.2,9.99,8.67,3.35,8.64,8.06,9.65,7.66,Slytherin
['Introvert'],['Confrontational'],['Realist'],8.55,5.35,8.91,4.11,4.83,5.92,9.45,8.03,5.81,7.71,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],4.16,0.42,9.94,5.75,1.21,6.57,5.89,6.55,3.13,9.27,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.34,9.66,6.46,8.0,8.08,7.21,7.54,8.36,4.27,6.0,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.0,9.42,3.79,7.45,8.56,5.92,8.91,8.64,8.93,6.39,Slytherin
['Ambivert'],['Avoidant'],['Realist'],9.04,6.46,7.12,5.87,5.68,4.5,8.99,8.16,5.65,7.49,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],0.7,4.56,9.12,4.04,1.73,6.45,4.16,6.0,3.82,9.31,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.0,7.36,8.45,8.97,8.07,8.29,5.87,7.8,5.01,4.21,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.91,9.83,0.75,7.66,7.18,3.72,7.98,9.19,8.19,6.12,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.59,6.19,8.99,4.98,4.67,7.52,8.87,7.25,6.58,7.27,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],5.34,2.5,8.39,2.78,3.38,6.06,6.88,7.43,2.37,9.13,Hufflepuff
['Extrovert'],['Confrontational'],['Opportunist'],9.63,7.31,8.14,6.4,9.56,9.27,7.89,8.22,4.13,4.96,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.09,9.01,1.51,7.3,7.09,3.26,6.07,9.09,9.85,6.7,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.57,4.52,9.29,4.22,5.14,5.27,8.06,8.28,6.81,7.37,Ravenclaw
['Introvert'],['Mediator'],['Realist'],0.25,1.3,8.09,4.98,2.33,6.23,6.09,8.62,3.53,9.55,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],7.59,8.03,9.15,7.48,9.39,9.71,5.75,8.37,5.73,4.71,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.32,9.31,6.42,8.3,7.18,4.27,6.19,9.03,8.24,7.58,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.79,7.1,7.71,3.83,4.63,6.84,8.88,7.48,6.98,7.36,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],4.86,4.45,9.78,1.77,2.45,7.55,4.69,5.54,3.37,9.8,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.37,9.06,7.59,5.68,8.78,9.58,7.89,6.66,5.12,5.15,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.41,9.18,9.15,7.54,7.04,5.4,6.8,8.5,8.36,6.7,Slytherin
['Ambivert'],['Avoidant'],['Realist'],8.12,3.26,6.97,3.68,5.11,7.85,8.06,8.51,6.2,7.47,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],1.09,1.88,8.35,4.69,1.26,8.55,4.78,8.24,2.16,9.87,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],7.56,8.83,8.97,6.13,7.38,8.91,7.48,8.97,4.58,5.09,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],8.95,9.91,8.81,9.21,8.67,5.86,8.01,8.45,8.4,7.32,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.01,7.61,5.15,3.69,3.14,5.76,9.84,7.5,5.4,7.62,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],1.18,5.83,8.95,4.07,3.48,8.36,5.71,8.92,3.87,9.14,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.26,7.19,7.74,5.93,8.71,9.66,6.74,6.13,5.78,4.3,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.52,9.32,5.08,7.61,8.17,5.72,7.58,8.44,8.35,7.06,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.67,6.79,9.11,3.08,5.61,5.91,9.57,8.95,5.59,7.38,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],5.33,6.32,8.61,3.13,1.37,6.68,4.37,7.12,2.94,9.68,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],9.1,8.16,8.44,7.28,9.0,7.12,7.42,6.04,5.66,4.66,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.5,9.85,9.05,7.55,7.38,5.7,7.67,9.49,9.78,7.35,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.89,4.12,5.79,4.74,3.06,4.24,8.33,7.67,6.3,7.17,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],2.24,4.73,8.89,0.16,4.6,7.82,4.06,5.83,3.99,9.93,Hufflepuff
['Extrovert'],['Confrontational'],['Realist'],7.07,8.57,8.79,9.86,9.13,9.93,6.07,8.57,4.05,5.09,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.75,9.5,7.88,8.5,8.86,5.28,7.28,8.51,9.78,6.98,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.22,6.41,9.35,5.88,4.65,5.5,9.45,7.01,6.03,7.48,Ravenclaw
['Ambivert'],['Avoidant'],['Idealist'],0.5,5.72,9.34,2.06,2.37,8.68,4.78,8.46,2.03,9.71,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.16,7.7,7.74,7.34,9.56,9.03,5.73,6.2,5.71,5.58,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.51,9.93,5.64,7.57,8.59,3.73,8.09,9.8,9.41,7.46,Slytherin
['Introvert'],['Mediator'],['Realist'],9.64,5.39,6.11,3.1,3.18,7.1,9.34,7.06,6.82,7.99,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],0.17,3.76,8.17,1.39,1.55,8.21,4.71,7.08,3.52,9.71,Hufflepuff
['Extrovert'],['Avoidant'],['Idealist'],8.4,8.43,6.07,6.79,9.27,8.42,7.8,7.61,5.36,5.4,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.98,9.21,6.08,7.0,7.08,5.21,8.15,9.1,9.28,6.5,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.67,4.99,8.74,3.95,3.55,5.8,9.11,7.75,5.55,7.9,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],2.82,6.02,9.39,4.98,0.79,7.45,5.6,5.93,2.39,9.38,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.49,8.45,6.74,9.96,9.07,8.55,6.86,6.22,5.75,5.86,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],8.79,9.08,6.07,9.97,7.01,4.35,7.05,9.54,9.11,7.74,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.46,4.88,9.76,4.71,3.72,5.02,9.59,7.04,6.43,7.57,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],0.17,5.46,9.27,1.28,0.73,6.71,4.69,8.49,3.28,9.33,Hufflepuff
['Introvert'],['Confrontational'],['Idealist'],8.61,9.01,9.59,7.54,7.78,9.95,7.57,7.3,4.15,5.55,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],5.36,9.24,0.04,9.81,8.67,4.87,6.71,8.66,9.51,7.18,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.74,3.98,8.59,3.94,4.14,7.64,8.04,7.7,5.3,7.91,Ravenclaw
['Extrovert'],['Mediator'],['Idealist'],3.89,2.96,8.25,4.25,4.75,8.51,5.22,7.27,3.69,9.97,Hufflepuff
['Extrovert'],['Confrontational'],['Realist'],6.37,7.51,6.83,6.09,7.33,9.97,5.52,6.0,5.68,4.66,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],8.72,9.91,5.0,9.35,7.54,4.9,6.11,8.16,8.25,6.86,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.72,7.16,7.23,3.45,4.95,6.85,9.82,7.45,5.33,7.19,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],4.32,4.02,9.25,1.0,4.64,8.28,5.85,7.76,3.48,9.15,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],9.6,9.08,7.95,7.2,9.47,9.38,6.61,7.22,4.7,5.83,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.46,9.99,1.95,9.61,7.83,4.36,7.89,8.53,9.16,6.63,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.3,6.02,7.27,4.1,5.72,7.45,8.76,7.56,6.58,7.3,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],3.54,6.7,8.54,5.24,5.04,8.69,5.33,8.73,2.77,9.11,Hufflepuff
['Extrovert'],['Avoidant'],['Opportunist'],7.07,7.82,6.3,9.17,7.23,7.19,6.31,6.52,5.0,5.8,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.83,9.56,2.98,9.11,7.65,3.95,7.61,9.08,8.83,7.91,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.96,4.46,8.42,4.99,4.6,5.28,9.75,8.29,6.73,7.71,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],5.52,3.85,9.08,3.05,0.82,6.01,6.31,8.12,2.8,9.81,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.95,9.45,9.03,7.65,7.58,8.13,5.62,6.73,5.77,4.96,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.38,9.71,4.16,8.92,8.4,3.46,8.87,9.7,9.66,7.67,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.25,7.12,5.73,5.59,4.74,6.52,8.33,8.39,5.16,7.85,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],5.97,4.8,9.01,4.78,3.15,6.0,6.06,7.82,3.79,9.17,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],6.8,9.29,9.5,9.94,7.02,7.1,7.49,6.73,5.5,5.93,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],8.13,9.83,1.71,8.49,7.96,4.5,8.47,8.42,8.8,6.35,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.14,3.76,9.75,4.96,5.99,6.51,9.21,8.94,5.13,7.2,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],4.65,3.5,8.46,0.2,1.33,7.28,4.09,5.03,2.39,9.67,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.82,8.11,6.95,8.92,7.42,8.28,6.69,7.93,5.67,5.86,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],8.25,9.61,2.41,7.57,7.54,5.25,8.36,9.62,8.84,7.27,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.18,4.22,8.25,5.08,4.14,4.09,8.98,7.9,5.36,7.23,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],5.22,4.62,8.71,0.16,4.77,8.19,6.78,5.05,2.54,9.74,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.31,9.36,6.45,9.68,7.61,7.99,6.7,7.03,4.46,4.51,Gryffindor
['Ambivert'],['Avoidant'],['Opportunist'],9.09,9.06,8.33,8.35,8.2,3.65,7.29,9.09,9.04,6.72,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.92,3.69,6.53,3.02,4.98,8.0,8.72,8.64,6.48,7.35,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],5.15,3.87,8.32,3.38,4.79,8.64,6.84,8.69,2.15,9.24,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.02,7.52,6.79,8.9,8.47,8.81,6.62,6.43,4.97,5.94,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.87,9.54,7.54,8.9,9.91,5.67,6.36,8.38,9.14,7.07,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.43,7.23,5.71,4.71,4.7,6.62,9.66,7.27,5.69,7.95,Ravenclaw
['Introvert'],['Mediator'],['Idealist'],3.02,2.15,8.07,0.84,5.86,7.25,4.97,8.85,3.19,9.51,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],6.3,8.53,7.89,5.28,7.73,9.46,6.82,8.59,5.91,5.69,Gryffindor
['Ambivert'],['Mediator'],['Realist'],9.04,9.52,8.5,7.23,8.28,3.05,7.24,9.4,9.11,6.04,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.39,5.83,8.15,5.36,4.67,6.05,8.99,8.29,6.38,7.29,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],4.96,5.69,8.79,0.15,0.02,8.55,6.25,7.02,3.36,9.47,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],5.28,9.04,9.21,8.39,8.28,9.1,6.01,6.21,4.94,5.35,Gryffindor
['Ambivert'],['Avoidant'],['Opportunist'],6.17,9.99,1.53,9.19,8.69,5.55,6.06,9.3,9.81,7.26,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.23,7.16,6.04,4.39,3.65,4.12,8.16,7.16,5.79,7.6,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],0.5,6.55,8.43,1.17,1.44,6.4,5.87,6.74,2.78,9.0,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.83,9.28,8.88,8.71,9.18,7.77,5.01,6.63,4.86,4.57,Gryffindor
